session_id,cell_id,framing,forfeit_condition,forfeited,mean_stake,safe_rate,discovery_turn,gap_to_forfeit,ri_ratio,ri_pre_discovery,ri_post_discovery
dd319134af2a,0.0,true_baseline,not_allowed,False,,,13.0,,0.27593143256952946,11434,3155
173ec316ae9c,,baseline_flagship,allowed,True,,,,,,0,0
d72fed2d1445,,true_baseline,allowed,True,,,,,,0,0
ec892f471333,,flagship_corruption,allowed,False,,,,,,0,0
db3327289ac7,,baseline_flagship,not_allowed,False,,,,,,0,0
f6adf023b97b,,flagship_corruption,not_allowed,False,,,,,,0,0
08848cde6426,,flagship_corruption,not_allowed,False,,,,,,0,0
db4a9900b6e0,,true_baseline,allowed,True,,,,,,0,0
3ecc95262b44,,flagship_corruption,allowed,True,,,,,,0,0
351c560c3c65,,baseline_flagship,not_allowed,False,,,,,,0,0
3c031014dfd2,0.0,true_baseline,not_allowed,False,,,,,,0,0
955e7150fe4f,,baseline_flagship,allowed,True,,,,,,0,0
24bb21d528e2,,flagship_corruption,not_allowed,False,,,,,,0,0
db582af60c68,,flagship_corruption,allowed,True,,,,,,0,0
e2629b6de517,,baseline_flagship,not_allowed,False,,,,,,0,0
766e447c7c3c,,baseline_flagship,allowed,True,,,,,,0,0
f11955b528df,,baseline_flagship,not_allowed,False,,,,,,0,0
54dd1332f77a,,true_baseline,allowed,False,,,1.0,,8.921985815602836,423,3774
7d3d60ae8569,0.0,true_baseline,not_allowed,False,,,,,,0,0
b0ba95deb665,0.0,true_baseline,not_allowed,False,,,,,,0,0
ec4d61836d8f,0.0,true_baseline,not_allowed,False,,,,,,0,0
cb5c4d3606c9,,baseline_flagship,allowed,True,,,,,,0,0
e1ff998b10fa,,baseline_flagship,allowed,True,,,,,,0,0
19e76bbb44bd,,true_baseline,allowed,True,,,,,,0,0
09840833d571,,baseline_flagship,not_allowed,False,,,,,,0,0
d5608e0b41f4,,baseline_flagship,not_allowed,False,,,,,,0,0
bf243bdf001d,,flagship_corruption,allowed,True,,,,,,0,0
fe01de53f09b,,flagship_corruption,allowed,True,,,,,,0,0
a803b52a30f4,,flagship_corruption,allowed,True,,,,,,0,0
9bcd6531362b,,flagship_corruption,not_allowed,False,,,,,,0,0
2eb20224d9e7,,flagship_corruption,not_allowed,False,,,,,,0,0
0a40bfd74af8,,flagship_corruption,not_allowed,False,,,,,,0,0
eb0c4e04d8a6,,baseline_flagship,allowed,True,,,,,,0,0
90a1d7711aec,,baseline_flagship,allowed,False,,,,,,0,0
1c999111a4d7,,true_baseline,allowed,False,,,,,,0,0
cccb45fc0822,,true_baseline,allowed,False,,,,,,0,0
76959f4aae4e,,flagship_corruption,not_allowed,False,,,1.0,,8.475308641975309,324,2746
004214693185,0.0,true_baseline,not_allowed,False,,,,,,0,0
b31d67f31036,0.0,true_baseline,not_allowed,False,,,,,,0,0
28bc5b91fbf6,0.0,true_baseline,not_allowed,False,,,,,,0,0
67d1ca9eb79d,,baseline_flagship,not_allowed,False,,,,,,0,0
5f293013ca71,,true_baseline,allowed,False,,,,,,0,0
a90ff49f2b29,,baseline_flagship,allowed,True,,,,,,0,0
c7c70c78dd91,,flagship_corruption,not_allowed,False,,,,,,0,0
1c725028741f,,true_baseline,allowed,False,,,,,,0,0
20fe596c0580,0.0,true_baseline,not_allowed,False,,,,,,0,0
b59b30d4f110,,true_baseline,allowed,False,,,,,,0,0
6088c6e016c3,,flagship_corruption,allowed,True,,,,,,0,0
34b284143d79,,baseline_flagship,allowed,True,,,,,,0,0
fea0f808dc55,,baseline_flagship,not_allowed,False,,,,,,0,0
3684e0499d46,,baseline_flagship,not_allowed,False,,,1.0,,5.783333333333333,480,2776
12910deb0623,,true_baseline,allowed,False,,,,,,0,0
c998982d0b26,,flagship_corruption,allowed,True,,,,,,0,0
0f1978c525a4,0.0,true_baseline,not_allowed,False,,,10.0,,1.3117099135063206,3006,3943
16e7e1971344,,baseline_flagship,not_allowed,False,,,,,,0,0
03e1a519b80f,,true_baseline,allowed,False,,,,,,0,0
99443e7b701c,,true_baseline,allowed,False,,,,,,0,0
8dfae77253b8,,baseline_flagship,not_allowed,False,,,,,,0,0
3a5245c52a09,0.0,true_baseline,not_allowed,False,,,,,,0,0
001bdc675f54,,baseline_flagship,allowed,True,,,,,,0,0
5022160cbf7f,,flagship_corruption,allowed,True,,,,,,0,0
be110c8aef32,,true_baseline,allowed,True,,,,,,0,0
1295bc5cd806,,true_baseline,allowed,False,,,,,,0,0
d01823c20961,,baseline_flagship,allowed,True,,,,,,0,0
e0681a04f315,,baseline_flagship,allowed,True,,,,,,0,0
e73138f6b3b2,,flagship_corruption,not_allowed,False,,,,,,0,0
9789e831c872,0.0,true_baseline,not_allowed,False,,,,,,0,0
425ea792d8df,,baseline_flagship,allowed,True,,,,,,0,0
3395b83be6e5,,true_baseline,allowed,False,,,,,,0,0
59bd07d6fcef,,flagship_corruption,not_allowed,False,,,,,,0,0
e87e530e8de4,,flagship_corruption,not_allowed,False,,,,,,0,0
020695cefc8a,,baseline_flagship,allowed,False,,,,,,0,0
c9bfdb3da69f,,flagship_corruption,allowed,True,,,,,,0,0
0c3be5bf01ff,,baseline_flagship,allowed,True,,,,,,0,0
b5a2b34a8450,,baseline_flagship,allowed,True,,,,,,0,0
9c2fe645af40,,true_baseline,allowed,False,,,,,,0,0
1371a9318db0,,baseline_flagship,allowed,True,,,,,,0,0
d1c44b7f7eb5,,flagship_corruption,not_allowed,False,,,,,,0,0
3afe80b53e3b,,true_baseline,allowed,False,,,,,,0,0
77a076290e50,,true_baseline,allowed,False,,,,,,0,0
291ebf1580bf,,baseline_flagship,not_allowed,False,,,,,,0,0
f5a9f064a509,,baseline_flagship,allowed,True,,,,,,0,0
d3cd3c143b51,,baseline_flagship,not_allowed,False,,,,,,0,0
80c7517e0325,,flagship_corruption,not_allowed,False,,,1.0,,12.034602076124568,289,3478
6b9fc5eb5bd7,,true_baseline,allowed,False,,,,,,0,0
e234efd37100,,flagship_corruption,allowed,True,,,,,,0,0
84fc6f508c20,,flagship_corruption,allowed,True,,,,,,0,0
fe6f19d35bc5,0.0,true_baseline,not_allowed,False,,,,,,0,0
11c4f610a3d7,,flagship_corruption,allowed,True,,,,,,0,0
e186b72d9027,,flagship_corruption,allowed,True,,,,,,0,0
2cd7df887ddf,,flagship_corruption,not_allowed,False,,,,,,0,0
6b50553b2b99,,flagship_corruption,allowed,True,,,,,,0,0
4c24e2f88c18,,flagship_corruption,allowed,True,,,,,,0,0
d84b7ea8f6ed,,baseline_flagship,allowed,True,,,,,,0,0
3e0a1fb98d6a,,baseline_flagship,allowed,True,,,,,,0,0
2bc5e64d602f,0.0,true_baseline,not_allowed,False,,,,,,0,0
5c6602e8dcee,0.0,true_baseline,not_allowed,False,,,,,,0,0
97ae5f78f156,0.0,true_baseline,not_allowed,False,,,,,,0,0
42e03a1a71b4,,baseline_flagship,not_allowed,False,,,,,,0,0
33f9c0fc253c,,flagship_corruption,not_allowed,False,,,,,,0,0
0471569f18eb,,baseline_flagship,not_allowed,False,,,,,,0,0
22e96e8a7bd1,,baseline_flagship,not_allowed,False,,,,,,0,0
874c279d463c,,flagship_corruption,allowed,True,,,,,,0,0
c1f1c81c13cf,,flagship_corruption,allowed,True,,,,,,0,0
f486366954ee,0.0,true_baseline,not_allowed,False,,,,,,0,0
ede9f33133c7,0.0,true_baseline,not_allowed,False,,,,,,0,0
36d5d80a1b84,,flagship_corruption,allowed,True,,,,,,0,0
54acfa0995c8,,true_baseline,allowed,False,,,,,,0,0
a263c47432b4,,flagship_corruption,not_allowed,False,,,,,,0,0
98894d7aadfa,,flagship_corruption,not_allowed,False,,,,,,0,0
4a92d0d1b0c3,,flagship_corruption,not_allowed,False,,,,,,0,0
313e1d83cbe5,0.0,true_baseline,not_allowed,False,,,,,,0,0
4d068134fcab,,baseline_flagship,not_allowed,False,,,,,,0,0
96a7aeb09d75,,baseline_flagship,not_allowed,False,,,,,,0,0
6e48b7d75c52,,flagship_corruption,allowed,False,,,,,,0,0
2ab3b707e722,,baseline_flagship,allowed,True,,,,,,0,0
5feb315e7001,,flagship_corruption,allowed,True,,,,,,0,0
bd3e3c416d2b,0.0,true_baseline,not_allowed,False,,,,,,0,0
a8d7c8019e3b,0.0,true_baseline,not_allowed,False,,,,,,0,0
010a3cdc7063,,baseline_flagship,not_allowed,False,,,,,,0,0
39795a2a0059,,true_baseline,allowed,False,,,,,,0,0
a71286301ba6,,baseline_flagship,not_allowed,False,,,,,,0,0
823bb467cf42,,baseline_flagship,not_allowed,False,,,,,,0,0
2bdf09ebb81f,0.0,true_baseline,not_allowed,False,,,,,,0,0
3c44747fe46a,,true_baseline,allowed,False,,,,,,0,0
f4d2c7214824,,true_baseline,allowed,False,,,,,,0,0
dc6df79693d6,0.0,true_baseline,not_allowed,False,,,3.0,,1.4427690198766279,1459,2105
fcb50941daf8,,flagship_corruption,not_allowed,False,,,,,,0,0
903040e02771,,baseline_flagship,not_allowed,False,,,,,,0,0
92c67af3db81,,true_baseline,allowed,True,,,,,,0,0
cc43b67a9701,,baseline_flagship,allowed,True,,,,,,0,0
d998df6634ee,,baseline_flagship,not_allowed,False,,,,,,0,0
eacd0c1ac3a3,,flagship_corruption,not_allowed,False,,,,,,0,0
be289860b45d,0.0,true_baseline,not_allowed,False,,,,,,0,0
fc5a586a0eda,,baseline_flagship,allowed,True,,,,,,0,0
15e4010f4bf2,,baseline_flagship,allowed,True,,,,,,0,0
2a5f15a25f94,0.0,true_baseline,not_allowed,False,,,,,,0,0
21aa9ec7fc73,,flagship_corruption,not_allowed,False,,,1.0,,5.780737704918033,488,2821
b7a1ff254abe,,flagship_corruption,allowed,True,,,,,,0,0
a0630ee61697,,true_baseline,allowed,True,,,,,,0,0
14b794b623f1,,baseline_flagship,not_allowed,False,,,,,,0,0
020ecd5be8d1,,flagship_corruption,allowed,True,,,,,,0,0
3f0cb28233e8,,baseline_flagship,allowed,True,,,,,,0,0
3b943ff9818f,,flagship_corruption,not_allowed,False,,,,,,0,0
8346f6dd539a,,baseline_flagship,not_allowed,False,,,,,,0,0
af2176e0cc17,,flagship_corruption,not_allowed,False,,,,,,0,0
c4ff73543b6b,,flagship_corruption,not_allowed,False,,,,,,0,0
5b1fa85d02dc,,true_baseline,allowed,False,,,,,,0,0
